Semantic-Score,Code,Original-Comment,Agent-Comment,Filename,Agent-Commit
0.12958057,"def get_debug_flag() -> bool:
    """"""Get whether debug mode should be enabled for the app, indicated by the
    :envvar:`FLASK_DEBUG` environment variable. The default is ``False``.
    """"""
    val = os.environ.get(""FLASK_DEBUG"")
    return bool(val and val.lower() not in {""0"", ""false"", ""no""})",# pragma: no cover,"# Returns whether debug mode should be enabled for the app, based on the FLASK_DEBUG environment variable.",src/flask/helpers.py,9b31f07e3abf300a8faa69860b6c56087ca1a101
0.24382687,"def decorator(*args: t.Any, **kwargs: t.Any) -> t.Any:
            gen = generator_or_function(*args, **kwargs)  
            return stream_with_context(gen)",# type: ignore[arg-type],"# This function is a decorator that takes variable arguments and keyword arguments,
# generates a generator or function using these inputs, and then returns a stream with context.",src/flask/helpers.py,9b31f07e3abf300a8faa69860b6c56087ca1a101
0.24633887,"def make_response(*args: t.Any) -> Response:
    """"""Sometimes it is necessary to set additional headers in a view.  Because
    views do not have to return response objects but can return a value that
    is converted into a response object by Flask itself, it becomes tricky to
    add headers to it.  This function can be called instead of using a return
    and you will get a response object which you can use to attach headers.

    If view looked like this and you want to add a new header::

        def index():
            return render_template('index.html', foo=42)

    You can now do something like this::

        def index():
            response = make_response(render_template('index.html', foo=42))
            response.headers['X-Parachutes'] = 'parachutes are cool'
            return response

    This function accepts the very same arguments you can return from a
    view function.  This for example creates a response with a 404 error
    code::

        response = make_response(render_template('not_found.html'), 404)

    The other use case of this function is to force the return value of a
    view function into a response which is helpful with view
    decorators::

        response = make_response(view_function())
        response.headers['X-Parachutes'] = 'parachutes are cool'

    Internally this function does the following things:

    -   if no arguments are passed, it creates a new response argument
    -   if one argument is passed, :meth:`flask.Flask.make_response`
        is invoked with it.
    -   if more than one argument is passed, the arguments are passed
        to the :meth:`flask.Flask.make_response` function as tuple.

    .. versionadded:: 0.6
    """"""
    if not args:
        return current_app.response_class()
    if len(args) == 1:
        args = args[0]
    return current_app.make_response(args)",# type: ignore[return-value],"# This function creates a response object that can be used to add headers,
# similar to how Flask views would work but with more control over the response.",src/flask/helpers.py,9b31f07e3abf300a8faa69860b6c56087ca1a101
0.082261525,"def get_send_file_max_age(self, filename: str | None) -> int | None:
        """"""Used by :func:`send_file` to determine the ``max_age`` cache
        value for a given file path if it wasn't passed.

        By default, this returns :data:`SEND_FILE_MAX_AGE_DEFAULT` from
        the configuration of :data:`~flask.current_app`. This defaults
        to ``None``, which tells the browser to use conditional requests
        instead of a timed cache, which is usually preferable.

        Note this is a duplicate of the same method in the Flask
        class.

        .. versionchanged:: 2.0
            The default configuration is ``None`` instead of 12 hours.

        .. versionadded:: 0.9
        """"""
        value = current_app.config[""SEND_FILE_MAX_AGE_DEFAULT""]

        if value is None:
            return None

        if isinstance(value, timedelta):
            return int(value.total_seconds())

        return value  ",# type: ignore # noqa: B950,"# Returns the maximum age for a file to be cached by the browser,
# falling back to the default configuration from Flask's current app.",src/flask/app.py,90cb96831b9ff021edb339bf957578d905640494
0.06730404,"def open_instance_resource(
        self, resource: str, mode: str = ""rb"", encoding: str | None = ""utf-8""
    ) -> t.IO[t.AnyStr]:
        """"""Open a resource file relative to the application's instance folder
        :attr:`instance_path`. Unlike :meth:`open_resource`, files in the
        instance folder can be opened for writing.

        :param resource: Path to the resource relative to :attr:`instance_path`.
        :param mode: Open the file in this mode.
        :param encoding: Open the file with this encoding when opening in text
            mode. This is ignored when opening in binary mode.

        .. versionchanged:: 3.1
            Added the ``encoding`` parameter.
        """"""
        path = os.path.join(self.instance_path, resource)

        if ""b"" in mode:
            return open(path, mode)

        return open(path, mode, encoding=encoding)",# pyright: ignore,# Open a resource file relative to the application's instance folder.,src/flask/app.py,90cb96831b9ff021edb339bf957578d905640494
0.26697364,"def raise_routing_exception(self, request: Request) -> t.NoReturn:
        """"""Intercept routing exceptions and possibly do something else.

        In debug mode, intercept a routing redirect and replace it with
        an error if the body will be discarded.

        With modern Werkzeug this shouldn't occur, since it now uses a
        308 status which tells the browser to resend the method and
        body.

        .. versionchanged:: 2.1
            Don't intercept 307 and 308 redirects.

        :meta private:
        :internal:
        """"""
        if (
            not self.debug
            or not isinstance(request.routing_exception, RequestRedirect)
            or request.routing_exception.code in {307, 308}
            or request.method in {""GET"", ""HEAD"", ""OPTIONS""}
        ):
            raise request.routing_exception  

        from .debughelpers import FormDataRoutingRedirect

        raise FormDataRoutingRedirect(request)","# We need at the very least the server name to be set for this
# to work.","# Intercept routing exceptions and possibly do something else. In debug mode,
# intercept a routing redirect and replace it with an error if the body will be discarded.",src/flask/app.py,90cb96831b9ff021edb339bf957578d905640494
0.101595275,"def group(  
        self, *args: t.Any, **kwargs: t.Any
    ) -> t.Callable[[t.Callable[..., t.Any]], click.Group]:
        """"""This works exactly like the method of the same name on a regular
        :class:`click.Group` but it defaults the group class to
        :class:`AppGroup`.
        """"""
        kwargs.setdefault(""cls"", AppGroup)
        return super().group(*args, **kwargs)  ",# type: ignore[no-any-return],# This function creates a custom click Group with default class set to AppGroup.,src/flask/cli.py,90cb96831b9ff021edb339bf957578d905640494
0.33997613,"def _set_app(ctx: click.Context, param: click.Option, value: str | None) -> str | None:
    if value is None:
        return None

    info = ctx.ensure_object(ScriptInfo)
    info.app_import_path = value
    return value",# type: ignore[no-any-return],"# This function sets the application import path for a given script, returning the updated path or None if no value was provided.",src/flask/cli.py,90cb96831b9ff021edb339bf957578d905640494
0.036462564,"def __set__(self, obj: App, value: t.Any) -> None:
        obj.config[self.__name__] = value",# type: ignore[no-any-return],# Sets the configuration value for the current object instance.,src/flask/config.py,90cb96831b9ff021edb339bf957578d905640494
0.37705848,"def make_response(*args: t.Any) -> Response:
    """"""Sometimes it is necessary to set additional headers in a view.  Because
    views do not have to return response objects but can return a value that
    is converted into a response object by Flask itself, it becomes tricky to
    add headers to it.  This function can be called instead of using a return
    and you will get a response object which you can use to attach headers.

    If view looked like this and you want to add a new header::

        def index():
            return render_template('index.html', foo=42)

    You can now do something like this::

        def index():
            response = make_response(render_template('index.html', foo=42))
            response.headers['X-Parachutes'] = 'parachutes are cool'
            return response

    This function accepts the very same arguments you can return from a
    view function.  This for example creates a response with a 404 error
    code::

        response = make_response(render_template('not_found.html'), 404)

    The other use case of this function is to force the return value of a
    view function into a response which is helpful with view
    decorators::

        response = make_response(view_function())
        response.headers['X-Parachutes'] = 'parachutes are cool'

    Internally this function does the following things:

    -   if no arguments are passed, it creates a new response argument
    -   if one argument is passed, :meth:`flask.Flask.make_response`
        is invoked with it.
    -   if more than one argument is passed, the arguments are passed
        to the :meth:`flask.Flask.make_response` function as tuple.

    .. versionadded:: 0.6
    """"""
    if not args:
        return current_app.response_class()
    if len(args) == 1:
        args = args[0]
    return current_app.make_response(args)",# type: ignore[return-value],"# This function creates a response object that can be used to add headers,
# allowing for more flexibility in view functions when returning values instead of responses.",src/flask/helpers.py,90cb96831b9ff021edb339bf957578d905640494
